N,set_cardinality,add_ds_card,mult_ds_card,count
50,8,23,35,52603
50,8,23,36,180637
50,8,24,23,2
50,8,24,24,1
50,8,24,26,21
50,8,24,27,60
50,8,24,28,130
50,8,24,29,155
50,8,24,30,1059
50,8,24,31,1364
50,8,24,32,2319
50,8,24,33,11955
50,8,24,34,12920
50,8,24,35,95426
50,8,24,36,333650
50,8,25,21,1
50,8,25,22,2
50,8,25,23,3
50,8,25,25,2
50,8,25,26,34
50,8,25,27,154
50,8,25,28,248
50,8,25,29,245
50,8,25,30,1815
50,8,25,31,2442
50,8,25,32,4925
50,8,25,33,26927
50,8,25,34,27285
50,8,25,35,216220
50,8,25,36,762808
50,8,26,22,1
50,8,26,23,10
50,8,26,24,6
50,8,26,25,5
50,8,26,26,72
50,8,26,27,244
50,8,26,28,343
50,8,26,29,506
50,8,26,30,3752
50,8,26,31,4402
50,8,26,32,10237
50,8,26,33,62088
50,8,26,34,70236
50,8,26,35,597684
50,8,26,36,2112260
50,8,27,23,9
50,8,27,24,8
50,8,27,25,8
50,8,27,26,127
50,8,27,27,230
50,8,27,28,607
50,8,27,29,776
50,8,27,30,6366
50,8,27,31,7707
50,8,27,32,16582
50,8,27,33,107444
50,8,27,34,125720
50,8,27,35,1080390
50,8,27,36,3926912
50,8,28,22,4
50,8,28,23,7
50,8,28,24,3
50,8,28,25,6
50,8,28,26,100
50,8,28,27,372
50,8,28,28,834
50,8,28,29,1246
50,8,28,30,11037
50,8,28,31,14308
50,8,28,32,32806
50,8,28,33,234131
50,8,28,34,283103
50,8,28,35,2601608
50,8,28,36,9520739
50,8,29,22,2
50,8,29,23,12
50,8,29,24,10
50,8,29,25,19
50,8,29,26,165
50,8,29,27,535
50,8,29,28,1108
50,8,29,29,1888
50,8,29,30,16346
50,8,29,31,23138
50,8,29,32,54105
50,8,29,33,413411
50,8,29,34,524999
50,8,29,35,4878911
50,8,29,36,17983456
50,8,30,22,3
50,8,30,23,5
50,8,30,24,14
50,8,30,25,23
50,8,30,26,276
50,8,30,27,563
50,8,30,28,1474
50,8,30,29,2296
50,8,30,30,26364
50,8,30,31,33380
50,8,30,32,85379
50,8,30,33,724918
50,8,30,34,931447
50,8,30,35,9057212
50,8,30,36,33054837
